Date,Home,Away
2023/1/7,kings,lioneers
2023/1/8,braves,lioneers
2023/1/13,dreamer,lioneers
2023/1/14,kings,lioneers
2023/1/28,lioneers,dreamer
2023/1/31,lioneers,pilots
2023/2/5,steelers,lioneers
2023/2/7,pilots,lioneers
2023/2/12,lioneers,pilots
2023/2/21,lioneers,braves
2023/2/26,dreamer,lioneers
2023/1/6,pilots,steelers
2023/1/8,dreamer,steelers
2023/1/14,braves,steelers
2023/1/17,steelers,kings
2023/1/29,steelers,braves
2023/2/3,dreamer,steelers
2023/2/11,kings,steelers
2023/2/12,dreamer,steelers
2023/2/18,steelers,dreamer
2023/1/29,kings,dreamer
2023/2/4,kings,braves
2023/2/19,kings,lioneers
2023/2/25,kings,pilots
2023/1/28,pilots,braves
2023/2/5,dreamer,braves
2023/2/11,braves,pilots
2023/2/19,pilots,braves
2023/2/24,dreamer,braves
2023/2/26,braves,pilots
2023/1/15,dreamer,pilots
2023/2/17,pilots,dreamer
